gysz;Megrendelésszám;Gyáriszám;Megnevezés ;Cikkszám;GYÉv
883142;4570000557;16101300883142;G4_FLOG_RF1_MEMB_05;G00018;2013
907745;4570000557;16101300907745;G4_FLOG_RF1_MEMB_05;G00018;2013
859588;4570000557;1300859588;G4_FLOG_RF1_MEMB_05;G00018;2013
860030;4570000557;1300860030;G4_FLOG_RF1_MEMB_05;G00018;2013
860201;4570000557;1300860201;G4_FLOG_RF1_MEMB_05;G00018;2013
859913;4570000557;1300859913;G4_FLOG_RF1_MEMB_05;G00018;2013
860591;4570000557;1300860591;G4_FLOG_RF1_MEMB_05;G00018;2013
860758;4570000557;1300860758;G4_FLOG_RF1_MEMB_05;G00018;2013
861165;4570000557;1300861165;G4_FLOG_RF1_MEMB_05;G00018;2013
861697;4570000557;1300861697;G4_FLOG_RF1_MEMB_05;G00018;2013
861705;4570000557;1300861705;G4_FLOG_RF1_MEMB_05;G00018;2013
861721;4570000557;1300861721;G4_FLOG_RF1_MEMB_05;G00018;2013
861241;4570000557;1300861241;G4_FLOG_RF1_MEMB_05;G00018;2013
861880;4570000557;1300861880;G4_FLOG_RF1_MEMB_05;G00018;2013
860313;4570000557;1300860313;G4_FLOG_RF1_MEMB_05;G00018;2013
862023;4570000557;1300862023;G4_FLOG_RF1_MEMB_05;G00018;2013
862131;4570000557;1300862131;G4_FLOG_RF1_MEMB_05;G00018;2013
862332;4570000557;1300862332;G4_FLOG_RF1_MEMB_05;G00018;2013
862251;4570000557;1300862251;G4_FLOG_RF1_MEMB_05;G00018;2013
862547;4570000557;1300862547;G4_FLOG_RF1_MEMB_05;G00018;2013
862686;4570000557;1300862686;G4_FLOG_RF1_MEMB_05;G00018;2013
864306;4570000557;1300864306;G4_FLOG_RF1_MEMB_05;G00018;2013
864450;4570000557;1300864450;G4_FLOG_RF1_MEMB_05;G00018;2013
864504;4570000557;1300864504;G4_FLOG_RF1_MEMB_05;G00018;2013
864754;4570000557;1300864754;G4_FLOG_RF1_MEMB_05;G00018;2013
864839;4570000557;1300864839;G4_FLOG_RF1_MEMB_05;G00018;2013
864893;4570000557;1300864893;G4_FLOG_RF1_MEMB_05;G00018;2013
864908;4570000557;1300864908;G4_FLOG_RF1_MEMB_05;G00018;2013
864913;4570000557;1300864913;G4_FLOG_RF1_MEMB_05;G00018;2013
864950;4570000557;1300864950;G4_FLOG_RF1_MEMB_05;G00018;2013
864952;4570000557;1300864952;G4_FLOG_RF1_MEMB_05;G00018;2013
864965;4570000557;1300864965;G4_FLOG_RF1_MEMB_05;G00018;2013
865298;4570000557;1300865298;G4_FLOG_RF1_MEMB_05;G00018;2013
865362;4570000557;1300865362;G4_FLOG_RF1_MEMB_05;G00018;2013
865369;4570000557;1300865369;G4_FLOG_RF1_MEMB_05;G00018;2013
865507;4570000557;1300865507;G4_FLOG_RF1_MEMB_05;G00018;2013
864996;4570000557;1300864996;G4_FLOG_RF1_MEMB_05;G00018;2013
865016;4570000557;1300865016;G4_FLOG_RF1_MEMB_05;G00018;2013
865782;4570000557;1300865782;G4_FLOG_RF1_MEMB_05;G00018;2013
865963;4570000557;1300865963;G4_FLOG_RF1_MEMB_05;G00018;2013
865969;4570000557;1300865969;G4_FLOG_RF1_MEMB_05;G00018;2013
